userName,score,at,content
Anjani chan,2,2025-12-11 00:23:35,"gimana sih aplikasinya ini menyusahkan sekali sejak diperbarui, padahal awal dulu mudah, sekarang ribet banget. disuruh login masukin NIK dan password tetep aja salah padahal itu Uda bener seperti yg dulu awal bikin, masuk ke lupa kata sandi disuruh masukin no hp tetap aja ga bisa jawabnya nomer sudah terdaftar, masukin email juga tetap salah. mending bikin yang masukin NIK sama nomer kartu BPJS aja napa pake ribet banget"
Its Me,1,2025-12-11 00:04:57,"jujur saja apk nya menyusahkan. mana tidak bisa di ss lagi. mau masuk aja susah banget, kode verify nya gak pernah dikirim-kirim."
zaka ria,5,2025-12-10 23:47:59,"mantap, memuaskan"
pawit motor,5,2025-12-10 23:20:21,sangat memmbantu
winda rani,5,2025-12-10 21:06:31,top
R M,1,2025-12-10 20:15:54,"Sederhana sajalah buat aplikasi mu jangan berlebihanlah, sebutkan nama untuk bulan yang lagi di bayarkan di setiap struk pembayaran biar jelas dan ingat, jangan ada lagi denda rawat inaplah biar rumah sakit tidak mempersulit pasien, kalau tidak bayar iuran cukup nonaktivkan, jika sudah dibayar langsung aktivkanlah hitungan detik, jangan banyak cengkunek²lah bpjs, programnya jangan persulit kesehatan masyarakat. BERBUAT BAIKLAH SELAGI MASIH ADA KESEMPATAN."
umarchamdan chamdan,5,2025-12-10 20:14:29,bisa berobat kemana saja berada
Mella VL,1,2025-12-10 20:05:19,"saya setiap bulan selalu bayar tagihan BPJS tidak pernah telat tidak pernah lupa, tp nggak tau kenapa dibulan Desember kena premi, coba saya cek info pembayaran dibulan November tidak tercatat, terakhir pembayaran bulan 10, pdhl bulan 11 saya sudah bayar, dan bukti pembayaran saya dibulan 11 itu pun masih, harus komplain kemana itu, kenapa saya masih kenapa premi juga, masa harus bayar lagi, double dong"
Abahkosim Kosim,5,2025-12-10 18:44:52,sangat membantu sekali
Michael Setiawan,1,2025-12-10 18:25:17,"captcha gak keluar"""
Raazzaq Rafa Karunia,5,2025-12-10 17:57:18,sangat bermanfaat dalam mengambil antrian jadi TDK lama di RS
Ari Yanto,5,2025-12-10 17:53:47,kok GK bisa di buka ya los konek terus padahal wifi normal
Agus Dwiyansyah,1,2025-12-10 17:44:11,main naik versi makin menyusahkan...tidak bisa login captcha loading terus
Sokrates Maniani,2,2025-12-10 17:40:17,Masa saya sudah pake wifi maupun kuota tapi masih kebaca anda offline gimna ini
dawut mauludin,1,2025-12-10 17:38:42,"setelah update aplikasi malah suruh periksa jaringan mulu , padahal dibuat yt dll aman2 aja tapi di aplikasi suruh periksa jaringan mulu"
Cindy Viona Putri,4,2025-12-10 17:38:39,"kenapa ya kalau udh tengah malam suka gangguan, loading lama bgt, malah ngga bisa di akses sama sekali. padahal internet lancar."
Mom Airlangga,1,2025-12-10 17:35:44,"memang aplikasi paling buruk.. mau daftar rujukan aja susah periksa jaringan padahal wifi manteng trus, giliran bayar aja telat sebulan lgsung off tapi ini apkikasi bner2 najis ."
Adit Judut,1,2025-12-10 17:19:41,kenapa saya log in tidak bisa kode capcha muter terus
Agus Agus,1,2025-12-10 17:16:12,aplikasi biasane gunanya buat memudahkan manusia klau ini malah pempersulit🥵🥵
Rochman Apandi,5,2025-12-10 17:13:01,bagus
jihad firdaus,1,2025-12-10 17:10:27,lemot
Ahmad Ardiansyah,1,2025-12-10 17:06:51,aplikasi eror sudah online tapi pas buka jaringa offline
Najih7,1,2025-12-10 17:05:59,"aplikasi ampas, mau ambil antrian malah error"
TV RA AMBOALA,1,2025-12-10 17:05:51,apaan mau daftar aja capcha nya loding terus
Suyitno Yitno,2,2025-12-10 16:57:23,"bagaimana ini ,setelah di-update ke versi terbaru malah tak bisa login.selalu layar keluar tulisan periksa koneksi internet . padahal semua data dan koneksi WiFi full"
Budi Setiawan,2,2025-12-10 16:54:03,"waktu ada kepentingan malah gabisa di login, padahal signal lancar normal"" aja"
Dooni Sanjaya,1,2025-12-10 16:53:38,"sangat mengecewakan, jaringan lancar wifi atau pakai paket data, tetapi tetap susah untuk login, captcha tidak muncul sudah di tunggu lama.., sudah di ubah jaringan, mengecewakan.., udahlah ribet.."
Hendri puji Maulana,1,2025-12-10 16:53:18,"apk kocak, mempersulit.. jaringan bagus tapi lag bat buat apa² mending di jaksehat lancar jaya..."
Bobs,1,2025-12-10 16:50:56,CAPTCHA MUTER MUTER TERUS GA BISA LOGIN. APLIKASI MACAM APA INI.
James Kuncoro,1,2025-12-10 16:50:47,"Agak bingung kenapa setelah di upgrade bukannya semakin baik malah jd kacau. Sblm upgrade bisa screenshoot utk tiket pemeriksaan skrg sdh tdk bisa, kalau sistem baik2 sj tdk masalah tp skrg saat mau buka sll keluar cek koneksi internet smp bosen buka tutup buka aplikasi, maaf hanya punya 1 provider. Mohon diperbaiki kl bisa balik lagi bisa screenshoot"
JUNIAR FIRDA,1,2025-12-10 16:33:29,"Mau login udah 3hari kaga bisa2 gara2 capthanya gak keluar2 muter terus. Sedangkan skrg mau daftar faskes 1 harus lewat JKN, nyusahin bgt ini 3hari loh bener2 GAK BISA!!"
Feny Aulia amanda,2,2025-12-10 16:32:27,"setiap mau bayar cicilan dan mau lihat nomornya slalu ada aja masalah sama apk nya.knp liat apk? karna kartunya udh hilang. dan setiap mau bayar slalu di update, setelah di update bukannya makin lancar di gunakan mala akun kluar dri apk dan disuruh masukan nik. gimana klo ga bawa KTP coba?. setelah nik di masukkan mala captcha nyaa loadingnya lamaaaaaaaaaaaaa kli ujung""nya ga bisa bayar. di update atau ga di update sama aja gda gunanya."
Dedi Abdullah,1,2025-12-10 16:30:47,sampah mau masih nunggu gatcha aja loading nya malam sampai subuh
latifah yanti,1,2025-12-10 16:18:10,error terus gabisa digunain pake wifi atau paket data tetep aja rusakkk
60_Made Bayu Setiawan,1,2025-12-10 16:15:48,"Indonesia, Indonesia hadeh, kapan mau maju kalo aplikasi sepenting ini aja sering eror koneksi, apa gakbisa beli server yang bagusan, sinyal aman kok buka aplikasinya gakbisa"
Muhamad Yaumul Adieb,1,2025-12-10 16:12:08,terlalu banyak bug.
awur awur gp,5,2025-12-10 16:03:27,mau log in susah min padahal udah di perbarui data masih banyak..kasih solusi min
Julius Simbolon,1,2025-12-10 16:00:06,kode captcha ga keluar2
Aisyah 123,1,2025-12-10 15:59:39,"sangat buruk,susah untuk login, mau ngecek dan daftar akun tidak bisa, buruk banget"
taufik minul,5,2025-12-10 15:59:30,good
Munaris Wirajaya,1,2025-12-10 15:58:57,"aplikasi pemerintah kaya gini ada aja kendalanya , captca ngga keluar lama"
dewa arya jaya,1,2025-12-10 15:46:15,gangguan tidak dapat diakses
Indra Saputra,1,2025-12-10 15:40:10,"Buruk, sering gangguan, keterangan tidak ada internet, padahal kuota banyak, buka youtube lancar, browsing dll lancar."
Diana Number 09,1,2025-12-10 15:38:20,kenapa ni login malah terdeteksi offline? padahal wifi on nyala terus
babang kejo,1,2025-12-10 15:26:17,susah buat login kode capca nya muter terus
Mr Joke,1,2025-12-10 15:25:15,"aplikasi sampah gatcha muter"" doang"
hanowo aji pradana,1,2025-12-10 15:20:59,aplikasi gak bisa di pake
Armanto Djigonius,5,2025-12-10 15:19:28,"sangat membantu, terimakasih BPJS dan Aplikasi JKN🙏🏻🙇🏻"
Om Punya Nih,1,2025-12-10 15:12:00,"koneksi aman... buat youtube, aman buat game aman buat buka applikasi ini, kok disuruh cek koneksi? parah"
Ferdi Simpale95,5,2025-12-10 15:02:19,bagus
Hj Syawalinda,5,2025-12-10 15:01:14,mobile jkn memudahkan pelayanan
Wahyupurnamasari Sari,5,2025-12-10 14:58:40,"Kemajuan aplikasi mobile jkn lebih bagus lagi, semogga selalu update lebih bagus lagi"
Bang Mandor,5,2025-12-10 14:52:46,membantu
Ney Rooney,5,2025-12-10 14:27:08,oke
Razby Channel,5,2025-12-10 14:26:23,ok
Firman Hidayat,5,2025-12-10 14:23:21,sangat praktis
Waryo Toyo,5,2025-12-10 14:08:39,bagus
ABRAHAM 88,5,2025-12-10 14:08:11,bagus dan sangat memudahkan
Raja Taufik hidayat,5,2025-12-10 14:06:23,bgus
Deminar Sitorus,5,2025-12-10 13:40:23,sangat bagus
2putri official,5,2025-12-10 13:27:34,sangat membantu dan sangat mudah di gunakan
Ervya Eka,1,2025-12-10 13:21:01,"udah bayar tagihan tepat waktu, bahkan lebih awal sebelum jatuh tempo di tanggal 10. tiap gajian tgl 28 langsung bayar bisa2 nya 2x tagihan ga di hitung bln oktober dan november ga di hitung padahal usah bayar tagihan nya bisa2 nya kirim chat bahwasanya blm di bayar bed banget"
Ragil Naklanang,1,2025-12-10 13:20:51,"Tidak bisa digunakan, emang saya lupa paswordnya, begitu cari cara lain lupa pasword via SMS mlah ga di kirim2 OTP nya gimana sich,,"
Lili yuli Lia,5,2025-12-10 13:20:45,sangat membantu
Annik Sutria,5,2025-12-10 13:03:24,top
Hanafi Liveo,4,2025-12-10 12:32:57,bagus
santi putri,5,2025-12-10 12:26:52,aplikasinya ngeleg butuh perbaikan lagi
sri hartono,5,2025-12-10 12:07:48,bagus
Ramadhan,5,2025-12-10 11:59:47,bgus
Noval Dwi saputra,5,2025-12-10 11:52:12,sangat membantu
Afif Kucingan,5,2025-12-10 11:44:46,jos
zaenal arifin,5,2025-12-10 11:31:01,good
Janitra Teknik,5,2025-12-10 11:26:59,sangat membantu
Nabhani,5,2025-12-10 10:59:21,aplikasinya mantap banget. 👍
Nila,4,2025-12-10 10:53:32,lumayan mempermudah
AdeNovri Rangkuti,1,2025-12-10 10:42:54,org berobat di persulit. sdh miskin x indonesia rupanya.
Lukman Hakim,5,2025-12-10 10:41:36,aplikasi nya sangat membantu masyarakat...
Moses ARAB,5,2025-12-10 10:30:54,mantap
noviandi andi,3,2025-12-10 10:30:05,"baru mau berobat,eh dibatasi buat pendaftaran nya,gmna psien UGD...gx bsa ngebayangkan,jadwal control bsa terhambat lw di batasi"
Tantan Hadiansyah,5,2025-12-10 10:20:25,enak dan gampang menggunakannya
luki yandi,5,2025-12-10 10:15:28,aplikasi sangat baik
Whonk Ndeso Property,5,2025-12-10 10:00:44,Top
Azzahra salsabila,2,2025-12-10 09:51:38,"aplikasi layanan masyarakat seharusnya lebih memadai dan lancar saat penggunaan, untuk verifikasi terlalu ribet dan sering terjadi kesalahan. tolong perbaiki aplikasi ini agar lebih praktis digunakan."
Suparto1 Toha,1,2025-12-10 09:39:48,pelayanan nya jelek rujukan masih aktif tidak bisa di gunakan
Hendrik Kalitis,5,2025-12-10 09:36:15,sangat membantu
Hesti Ningrum,5,2025-12-10 08:47:40,Mudah mengakses dan merubah data
Tia Mah,5,2025-12-10 08:44:40,kok nggk bisa kebuka knp ya padahal saya di sini ikut JKN Mbayar bukan gratis dr pemerintah.... saya mbayarnya lewat potongan upah dr hasil buruh di PT Unggul Jaya Jepon Blora BLORA... TP KENAPA JMO SAYA JUGA NGGAK BISA DI BUKA PD HAL SAYA BUKAN GRATIS IKUT JMO MAUPUN JKN MOBIL KENAPA SEMUA APLIKASINYA NGGAK BISA DI BUKA....PELAYANANNYA JELEK.... INI SAYA BUKAN KASIH IBU KEPADA BETA LO SAYA BENAR BENAR MBAYAR PAKAI UANG BUKAN PAKAI DAUN KOK APLIKASINYA SEMUA NGGK BISA DI BUKA
Ivonilla Monic,4,2025-12-10 08:27:51,knp mau masuk aplikasi ga bs terus angka nik beda terus padahal sama biasanya kupakai nik sesuai KTP
welson caniago,5,2025-12-10 08:17:35,sangat baik dan efisien
Gendukdwi Pertiwi,5,2025-12-10 08:16:45,sangat membantu
uton lilaban,5,2025-12-10 08:15:29,mantap sangat membantu
Dede Suparman,5,2025-12-10 08:05:24,ok
Wineu Amalia,1,2025-12-10 07:47:47,mau daftar akun tidak bisa ada notif no hp anda telah di gunakan oleh peserta lain (bagai mana jika ada peserta yg salah masukan no hp nya ) jangan mempersulit donk aplikasi nya perbaiki lagih jangan mempersulit rakyat
Rosmia Rosmia,3,2025-12-10 07:33:39,pusing make nya
Mieayam Nagamoringa,5,2025-12-10 07:28:18,pelayana yg cepat
Erni Zendrato,5,2025-12-10 07:24:52,sangat memudahkan untuk data2 perserta dan lebih efisien dalam waktu.
Raffa Fadillah,1,2025-12-10 07:07:09,nge scan wajah aja g bisa
Harris Sukvia,5,2025-12-10 06:48:45,sangat membantu
Hafid,1,2025-12-10 06:29:06,"captcha tidak muncul, serta susah login"
Cesaria Yudiyanti,1,2025-12-10 06:04:11,"payah payah payah, aplikasi pemerintah kenapa selalu payah. sering logout ga jelas. mau daftar faskes harus daftar ulang dulu karena logout. mau login dipersusah, Nik salah lah, pasword salah lah. payah!!!!!!!"
Yohanes F A Omberep Jhony,5,2025-12-10 05:55:58,mntap🙏🙏
M.H ENGKOL,5,2025-12-10 05:43:06,Sangat baik
Nensi Ortega,5,2025-12-10 05:28:09,baik
lutvia kaisah,4,2025-12-10 05:24:44,sekarang kok gak kaya dulu yah jkn nya malah suruh daftar lagi .dulu aman aman aja daftar sekali bisa dipakai lama tinggal masuk.sekrang knpa ribet bgt min
Sahabi Dompas,5,2025-12-10 05:20:39,Aplikasi yg sangat membantu!!
NP Vlog,1,2025-12-10 05:17:32,gabisa login aplikasi pemerintah ga guna ini mau sampai kapan seperti ini terus?
Wahyu Mohamad,1,2025-12-10 05:06:47,bikin dongkol setiap buka aplikasi ribet kudung masukin no KTP kalo pasword wajar ga praktis masih bloon ni aplikasi ditambah ga singkron Ama paskesmya dah ambil no antrian lewat aplikasi pas udah sampe tempat katanya dah tutup padahal baru jam 11 di aplikasinya tutup jam 13.30 nih gimana yg oon aplikasinya apa paskesnya
Vito Skaluarga,5,2025-12-10 04:53:17,sangat membantu untuk orang yang sedang sakit
kembar starjua,5,2025-12-10 04:52:36,bagus sangat membantu
Rifa fadilah Dedep,5,2025-12-10 04:48:26,sangat puass
ibnu hajar wibowo jogja,5,2025-12-10 04:46:42,bagus
Hanifa Habib,5,2025-12-10 04:42:50,mantap
Alexander (ID.01),1,2025-12-10 04:41:00,lelet
kenzie Aqila 24,5,2025-12-10 04:38:21,bermanfaat
ponid berdasi,5,2025-12-10 04:34:16,okey
Amirah Balqis,5,2025-12-10 04:31:55,Mudah dipahami
Fatah Nur soleh,2,2025-12-10 04:23:44,"ada pertanyaan kalo permintaan tidak diizinkan, apa yang bermasalah?"
Sarwani 99,5,2025-12-10 04:19:47,sangat bagus dan bermanfaat untuk rakyat dan masyarakat
creative chanel,2,2025-12-10 04:10:47,"berhasil login masuk, tapi kenapa saat mau buka beberapa fitur tulisannya anda tidak diizinkan.. mau daftar antrean online tidak bisa"
andrean cahyadie,5,2025-12-10 04:10:41,aplikasi bagus dan membantu
Dina Kusmarini,5,2025-12-10 04:00:01,aplikasi yg bagus
Pipih Patimah,1,2025-12-10 03:53:44,"masa pas mau cek in di RS data kepesertaan di jkn mobilenya malah hilang, padahal sdh daftar online."
Ahmad Sri murtanto,1,2025-12-10 03:53:13,"ngurusin penambahan peserta di via web online sangat susah,padahal sudah 2 x membayar peserta yang di tambahkan, di perbaiki web nya kerja yang bener jangan sering main2 kamu di bayar nya gak main2"
Isnainia Devi,5,2025-12-10 03:37:15,semakin mudah
J.A. Margareth,2,2025-12-10 03:28:51,"ini kenapa tiba"" ke-logout sendiri ya? terus pas mau masuk, captcha-nya muter"" loading doang ga bisa"""
Ali Chudaibi,1,2025-12-10 03:25:22,apk lemotttt
First Leo,1,2025-12-10 03:24:49,"aplikasi jkn loading gak ngebuka, error"
Silvi Aliya,1,2025-12-10 03:22:18,kenapa sering logout sendiri dan jika masuk malah dipersulit
Riski Sulaeman,1,2025-12-10 03:20:19,lawak gbisa login. ktrngan offline mlu
Tians Kyo,4,2025-12-10 03:19:00,"begus ,sangat membantu dalam pendaftaran pelayanan kesehatan . tapi aplikasinya sering error. sering logout sendiri padahal masih beberapa menit login. sering error ofline, padaahal sinyal aman. kadang ngeblank putih tidak bisa diapa apain. ini karena banyak yang menggunakan atau masalah servernya saya kurang paham."
Safuan Mahardika,5,2025-12-10 03:11:02,good
Moch Kamil kamil,5,2025-12-10 03:10:35,bisa mempermudah layanan tapi sering lemot
Mochamad Fahim,5,2025-12-10 03:09:27,ok
Sadawa Tumas,5,2025-12-10 03:00:59,sangat membantu
Samudra Biru,5,2025-12-10 03:00:37,bagus dan menolong
Adni Adni Marputin,2,2025-12-10 02:58:32,"saya kasih bintang 2 dulu, karna aplikasi nya tidak bisa menerima pesan, jdi susah untuk menyelesai kan pembayaran autodebit."
Wasirun Sirun,4,2025-12-10 02:56:38,ok bisa membantu
Hadi Prayitno,5,2025-12-10 02:51:04,bagus
Sri Kusriah,5,2025-12-10 02:48:53,membantu pensiunan
Ollning Gellyama,5,2025-12-10 02:47:48,sangat berguna
Ariska Astuti,4,2025-12-10 02:44:08,bagus aplikasinya
Versa Khanaya,1,2025-12-10 02:42:55,"saya mau bertanya,gunanya ada pendaftaran online itu apa ya, saya sampai klinik udh nunggu hampir sejam tetapi yg di panggil itu nomer antrian yg di bawah saya misalnya saya no urut A10 tapi yg di panggil duluuan A11 A12 saya di lewatin pas saya tnya ke pendaftaran katanya mereka datang duluan mangkannya mereka di dahulukan,maksudnya gmna ya saya daftar online itu biar mempermudah dan mempercepat tapi knpa yg datang duluan yg di dahulukan ,untuk apa ada pendaftaran online melalui APK kalo gtu"
Ifan Potter,1,2025-12-10 02:36:31,"Setiap mau ambil antrean secara online selalu saja gagal dengan keterangan ""Poli tidak ditemukan"". Kasian pasien yang rumahnya jauh dari rumah sakit,gak membantu sama sekali.."
